           1           1           1
           1           2           2
           1           3           9
           1           4          10
           1           5          82
           1           6          83
           1           7          84
           1           8          85
           1           9          86
           2           1           2
           2           2           3
           2           3          10
           2           4          11
           2           5          87
           2           6          88
           2           7          83
           2           8          89
           2           9          90
           3           1           3
           3           2           4
           3           3          11
           3           4          12
           3           5          91
           3           6          92
           3           7          88
           3           8          93
           3           9          94
           4           1           4
           4           2           5
           4           3          12
           4           4          13
           4           5          95
           4           6          96
           4           7          92
           4           8          97
           4           9          98
           5           1           5
           5           2           6
           5           3          13
           5           4          14
           5           5          99
           5           6         100
           5           7          96
           5           8         101
           5           9         102
           6           1           6
           6           2           7
           6           3          14
           6           4          15
           6           5         103
           6           6         104
           6           7         100
           6           8         105
           6           9         106
           7           1           7
           7           2           8
           7           3          15
           7           4          16
           7           5         107
           7           6         108
           7           7         104
           7           8         109
           7           9         110
           8           1           8
           8           2          65
           8           3          16
           8           4          66
           8           5         111
           8           6         112
           8           7         108
           8           8         113
           8           9         114
           9           1           9
           9           2          10
           9           3          17
           9           4          18
           9           5          85
           9           6         115
           9           7         116
           9           8         117
           9           9         118
          10           1          10
          10           2          11
          10           3          18
          10           4          19
          10           5          89
          10           6         119
          10           7         115
          10           8         120
          10           9         121
          11           1          11
          11           2          12
          11           3          19
          11           4          20
          11           5          93
          11           6         122
          11           7         119
          11           8         123
          11           9         124
          12           1          12
          12           2          13
          12           3          20
          12           4          21
          12           5          97
          12           6         125
          12           7         122
          12           8         126
          12           9         127
          13           1          13
          13           2          14
          13           3          21
          13           4          22
          13           5         101
          13           6         128
          13           7         125
          13           8         129
          13           9         130
          14           1          14
          14           2          15
          14           3          22
          14           4          23
          14           5         105
          14           6         131
          14           7         128
          14           8         132
          14           9         133
          15           1          15
          15           2          16
          15           3          23
          15           4          24
          15           5         109
          15           6         134
          15           7         131
          15           8         135
          15           9         136
          16           1          16
          16           2          66
          16           3          24
          16           4          67
          16           5         113
          16           6         137
          16           7         134
          16           8         138
          16           9         139
          17           1          17
          17           2          18
          17           3          25
          17           4          26
          17           5         117
          17           6         140
          17           7         141
          17           8         142
          17           9         143
          18           1          18
          18           2          19
          18           3          26
          18           4          27
          18           5         120
          18           6         144
          18           7         140
          18           8         145
          18           9         146
          19           1          19
          19           2          20
          19           3          27
          19           4          28
          19           5         123
          19           6         147
          19           7         144
          19           8         148
          19           9         149
          20           1          20
          20           2          21
          20           3          28
          20           4          29
          20           5         126
          20           6         150
          20           7         147
          20           8         151
          20           9         152
          21           1          21
          21           2          22
          21           3          29
          21           4          30
          21           5         129
          21           6         153
          21           7         150
          21           8         154
          21           9         155
          22           1          22
          22           2          23
          22           3          30
          22           4          31
          22           5         132
          22           6         156
          22           7         153
          22           8         157
          22           9         158
          23           1          23
          23           2          24
          23           3          31
          23           4          32
          23           5         135
          23           6         159
          23           7         156
          23           8         160
          23           9         161
          24           1          24
          24           2          67
          24           3          32
          24           4          68
          24           5         138
          24           6         162
          24           7         159
          24           8         163
          24           9         164
          25           1          25
          25           2          26
          25           3          33
          25           4          34
          25           5         142
          25           6         165
          25           7         166
          25           8         167
          25           9         168
          26           1          26
          26           2          27
          26           3          34
          26           4          35
          26           5         145
          26           6         169
          26           7         165
          26           8         170
          26           9         171
          27           1          27
          27           2          28
          27           3          35
          27           4          36
          27           5         148
          27           6         172
          27           7         169
          27           8         173
          27           9         174
          28           1          28
          28           2          29
          28           3          36
          28           4          37
          28           5         151
          28           6         175
          28           7         172
          28           8         176
          28           9         177
          29           1          29
          29           2          30
          29           3          37
          29           4          38
          29           5         154
          29           6         178
          29           7         175
          29           8         179
          29           9         180
          30           1          30
          30           2          31
          30           3          38
          30           4          39
          30           5         157
          30           6         181
          30           7         178
          30           8         182
          30           9         183
          31           1          31
          31           2          32
          31           3          39
          31           4          40
          31           5         160
          31           6         184
          31           7         181
          31           8         185
          31           9         186
          32           1          32
          32           2          68
          32           3          40
          32           4          69
          32           5         163
          32           6         187
          32           7         184
          32           8         188
          32           9         189
          33           1          33
          33           2          34
          33           3          41
          33           4          42
          33           5         167
          33           6         190
          33           7         191
          33           8         192
          33           9         193
          34           1          34
          34           2          35
          34           3          42
          34           4          43
          34           5         170
          34           6         194
          34           7         190
          34           8         195
          34           9         196
          35           1          35
          35           2          36
          35           3          43
          35           4          44
          35           5         173
          35           6         197
          35           7         194
          35           8         198
          35           9         199
          36           1          36
          36           2          37
          36           3          44
          36           4          45
          36           5         176
          36           6         200
          36           7         197
          36           8         201
          36           9         202
          37           1          37
          37           2          38
          37           3          45
          37           4          46
          37           5         179
          37           6         203
          37           7         200
          37           8         204
          37           9         205
          38           1          38
          38           2          39
          38           3          46
          38           4          47
          38           5         182
          38           6         206
          38           7         203
          38           8         207
          38           9         208
          39           1          39
          39           2          40
          39           3          47
          39           4          48
          39           5         185
          39           6         209
          39           7         206
          39           8         210
          39           9         211
          40           1          40
          40           2          69
          40           3          48
          40           4          70
          40           5         188
          40           6         212
          40           7         209
          40           8         213
          40           9         214
          41           1          41
          41           2          42
          41           3          49
          41           4          50
          41           5         192
          41           6         215
          41           7         216
          41           8         217
          41           9         218
          42           1          42
          42           2          43
          42           3          50
          42           4          51
          42           5         195
          42           6         219
          42           7         215
          42           8         220
          42           9         221
          43           1          43
          43           2          44
          43           3          51
          43           4          52
          43           5         198
          43           6         222
          43           7         219
          43           8         223
          43           9         224
          44           1          44
          44           2          45
          44           3          52
          44           4          53
          44           5         201
          44           6         225
          44           7         222
          44           8         226
          44           9         227
          45           1          45
          45           2          46
          45           3          53
          45           4          54
          45           5         204
          45           6         228
          45           7         225
          45           8         229
          45           9         230
          46           1          46
          46           2          47
          46           3          54
          46           4          55
          46           5         207
          46           6         231
          46           7         228
          46           8         232
          46           9         233
          47           1          47
          47           2          48
          47           3          55
          47           4          56
          47           5         210
          47           6         234
          47           7         231
          47           8         235
          47           9         236
          48           1          48
          48           2          70
          48           3          56
          48           4          71
          48           5         213
          48           6         237
          48           7         234
          48           8         238
          48           9         239
          49           1          49
          49           2          50
          49           3          57
          49           4          58
          49           5         217
          49           6         240
          49           7         241
          49           8         242
          49           9         243
          50           1          50
          50           2          51
          50           3          58
          50           4          59
          50           5         220
          50           6         244
          50           7         240
          50           8         245
          50           9         246
          51           1          51
          51           2          52
          51           3          59
          51           4          60
          51           5         223
          51           6         247
          51           7         244
          51           8         248
          51           9         249
          52           1          52
          52           2          53
          52           3          60
          52           4          61
          52           5         226
          52           6         250
          52           7         247
          52           8         251
          52           9         252
          53           1          53
          53           2          54
          53           3          61
          53           4          62
          53           5         229
          53           6         253
          53           7         250
          53           8         254
          53           9         255
          54           1          54
          54           2          55
          54           3          62
          54           4          63
          54           5         232
          54           6         256
          54           7         253
          54           8         257
          54           9         258
          55           1          55
          55           2          56
          55           3          63
          55           4          64
          55           5         235
          55           6         259
          55           7         256
          55           8         260
          55           9         261
          56           1          56
          56           2          71
          56           3          64
          56           4          72
          56           5         238
          56           6         262
          56           7         259
          56           8         263
          56           9         264
          57           1          57
          57           2          58
          57           3          73
          57           4          74
          57           5         242
          57           6         265
          57           7         266
          57           8         267
          57           9         268
          58           1          58
          58           2          59
